# Repository: gnome-unstable-x86_64
# Generated: 2026-02-02T15:04:57.628705
# Package count: 52
# Format: package-name version1 version2 commit-hash
#
at-spi2-core 2.59.1-1 2.59.1-1 c389c33c2b07b73f777730efe002fea6036b0f74
d-spy 50alpha-1 50alpha-1 c7d6ab7e3a372cea2bc7ebde2e19277a4c5a80ad
epiphany 50beta-1 50beta-1 0e06b740ed878aef51ebcd776bf198ee61b06997
evolution 3.59.2-1 3.59.2-1 a4a131740bb41a81a36ffa3e99797ddc2ef031a5
evolution-data-server 3.59.2-1 3.59.2-1 534d41853f340723057f08ee703f7f98376092e1
evolution-ews 3.59.2-1 3.59.2-1 0d0f387e45566d3b35e12dee1e76847d3470cf99
folks 0.15.12-1 0.15.12-1 2f7f5f0b49aae7da38c6be452edad2dfc79ca440
gdm 50alpha.1-2 50alpha.1-2 feb6b0fdaaeb14fd131002688fe6efdd9feeeba2
gjs 2:1.87.2-1 2-1.87.2-1 29108b1a24e294700d36e47237c59a46fae89f94
glib2 2.87.2-1 2.87.2-1 b1587b9b30e50712349ce1dd77ad5c1d77faa7a6
glycin 2.1beta-1 2.1beta-1 01d273d69fc874153ebec26a6a9994daf03a728f
gnome-builder 50alpha-1 50alpha-1 49b02e51842999880d0bc4346a743d77191adf44
gnome-calculator 50beta-1 50beta-1 83eece9184653f91d0d307ea521f826cf6faff1b
gnome-calendar 50alpha-1 50alpha-1 49e6a47e20dd58932ae105b9fc2f906cca5e2730
gnome-characters 50alpha-1 50alpha-1 b6c7cdd02e7cf47575e63e987e9b11646ad803c3
gnome-clocks 50beta-1 50beta-1 38e02549e0ba262133352038216c8d2eae1b2f31
gnome-connections 50beta-1 50beta-1 5d1a99e35e8606fc0bd7c30539b6d8f539ff5cc2
gnome-contacts 50alpha-1 50alpha-1 0b8c6df56f4662b25ffb8109ee4df98f21c69c71
gnome-control-center 50alpha-1 50alpha-1 49183bfa2f35d44cf1ae89a721212753dc895a80
gnome-initial-setup 50alpha-1 50alpha-1 f1b1518d272ede972b06ddfb1bd6e1f7a3daf321
gnome-maps 50beta-1 50beta-1 b9118dae592e591b83f06073cbf77a6f729dc4f0
gnome-online-accounts 3.57.0-1 3.57.0-1 2a06721e1ee4b8efbda793949ff64998802c1f87
gnome-session 50alpha-2 50alpha-2 6fc3de4ca4fc4edbb23ccbb1d4e02b2a21e69901
gnome-settings-daemon 50alpha-1 50alpha-1 8d4aeaf067cc2e199bf0032e88e3eb3f822f78dc
gnome-shell 1:50alpha-1 1-50alpha-1 a1cff71ba8260b350a7c963d7524a82938c7d48b
gnome-software 50beta-1 50beta-1 74dcd148f21a8f6e458e877d92d2dbbf7c97b9fd
gnome-system-monitor 50alpha-1 50alpha-1 8bfe6624cf70a9edd25ff6c52f6fc807762119c1
gnome-terminal 3.59.90-1 3.59.90-1 7f50c8d6f93fb5d94a1553e42f47e3ccf842f8f3
gnome-text-editor 50beta-1 50beta-1 49ad9bbc9a81fc6791449781326c6a46c07c79cd
gst-thumbnailers 1.0alpha.3-1 1.0alpha.3-1 50c386b87f4d0a286363ee1977685856dd58183c
gtk4 1:4.21.5-1 1-4.21.5-1 3e6e69adcdbe0a1b69fa441dc2c68f09a746474d
gtkmm-4.0 4.21.2-1 4.21.2-1 08c98288ee5933e271b957e99e62b47e1722fda2
gvfs 1.59.1-1 1.59.1-1 d7d56f55d5b9d2e6808c4e82cee6a14e7dbd0ae3
libadwaita 1:1.9alpha-1 1-1.9alpha-1 adbf2ce27f153b2b5be96a13094152e8932dc3d5
libdex 1.1alpha-1 1.1alpha-1 37cff80bd61ab1294e963c276466a68e0d3b1b73
libgsystemservice 0.3.0-1 0.3.0-1 facd3747db82e18f53d6c41d9d86d11fa4425b17
librsvg 2:2.61.90-1 2-2.61.90-1 24759cc64656956ff4fa5e3470316c6d6add57bb
libshumate 1.6beta-1 1.6beta-1 0e72c43b6316b9066fed106e7a66f7086e96939c
lightsoff 50beta-1 50beta-1 01ea2341f67a4b6d2aa05735d7fc4c3059678bde
localsearch 3.11alpha-1 3.11alpha-1 19f8ca6a586eebcb7a7d853e90968619713313b3
loupe 50beta-1 50beta-1 42eda57afbaa050f6019789e3a0e681a8c03da5c
malcontent 0.14alpha-1 0.14alpha-1 f4f972785ec6b1e0834aca7e95bb19d1ff2404ab
mutter 50alpha-2 50alpha-2 d496f0b3a8ace9a0e3f6204ae6ffaf3b3bda6907
nautilus 50alpha-1 50alpha-1 6edce1e2f1c2f1632f4f826bad3ee1a9a2f2f598
papers 50alpha-1 50alpha-1 46425e857363eceff5d5e7b92ec98510637ab181
ptyxis 50beta-1 50beta-1 26ad91e625027fe7b790d5e99a15f8a8389e013c
snapshot 50beta-1 50beta-1 cfa1f4bad76554e6a6a91c7bd47f298330cd400c
swell-foop 50beta-1 50beta-1 8e6a5e5342ddf6bf08386c3f36370d369e317045
sysprof 50alpha-1 50alpha-1 fc672c1436bf96ff368c20a4273ce70633017793
tinysparql 3.11alpha-1 3.11alpha-1 65ae73f7d48f609cba437997883e30df78ddc476
vte3 0.83.90-1 0.83.90-1 ce98cfef63fa2de2142335e76968ab9dffe0160d
xdg-desktop-portal-gnome 50alpha-1 50alpha-1 f3435438285db7f1794f132bc5fd767a7e06b43d
